type,price,beds,bath,propertysqft,locality,zipcode,distance_to_center,distance_to_wall_street
Multi-family home,11000000,50,50,22035.0,Manhattan,11236,15.070533410260028,11.600022620377645
Co-op,239900,1,1,585.0,Queens,11004,22.486744597992427,24.99984501808128
Co-op,257000,3,1,450.0,Brooklyn,11235,20.426334355563487,14.923931155086992
Condo,1090000,2,2,1860.0,Queens,11360,17.044856168651762,20.834524572515615
Townhouse,2045000,6,4,3976.0,Manhattan,10031,8.601615165037535,14.797724268498602
Multi-family home,1195000,3,2,2700.0,Manhattan,10312,28.886019246177842,22.948074215413087
Co-op,340000,2,1,900.0,Bronx,10471,16.543577826656154,22.704503168811353
House,1375000,6,2,1596.0,Manhattan,11354,14.718091280626624,18.0569619743217
House,749000,3,1,1644.0,Manhattan,10310,17.840733245262857,11.994352663863856
Co-op,775000,3,2,1880.0,Manhattan,10065,1.7364329064017334,7.376788853213923
Multi-family home,948000,7,3,3262.0,Manhattan,11412,20.42014575589594,21.165700798162153
House,880000,3,2,2230.0,Manhattan,11377,6.65529067528385,9.44576197592612
Co-op,699000,1,1,600.0,Manhattan,10023,2.3384400896230773,8.52314333820046
Co-op,2250000,4,3,1440.0,Manhattan,10024,2.93966168365452,9.13504314666821
Co-op,319000,3,1,1440.0,Manhattan,10037,7.426139161856687,13.535084781922412
Multi-family home,1300000,6,3,3262.0,Manhattan,11234,15.957924537459352,11.757430607166853
Multi-family home,729000,3,3,1800.0,Manhattan,11236,14.692519059695952,11.090772964391812
Condo,425000,2,2,800.0,Bronx,10463,15.343189059251838,21.526794956071324
Co-op,399000,1,1,1440.0,Manhattan,10028,3.4544150816732846,8.975570303657701
Co-op,625000,3,1,652.0,Brooklyn,11201,6.320860399149424,1.3328259821986406
Co-op,269000,1,1,700.0,Queens,11374,10.958091585947521,12.869630833692915
Condo,449000,2,2,1440.0,Manhattan,10314,24.45352677221512,18.608647644411075
Multi-family home,699000,8,5,2300.0,Manhattan,10457,12.646168973865235,18.568005989183774
Co-op,550000,3,2,1250.0,Manhattan,10035,6.498999890005571,12.587491612460486
House,758000,3,1,1200.0,Brooklyn,11214,18.672344785989356,12.937170926488417
House,829000,4,2,1680.0,Manhattan,11414,15.992340862646934,14.34699200916124
Condo,789000,2,2,1230.0,Brooklyn,11235,20.280320063180167,14.901684835013295
Townhouse,24990000,7,6,8500.0,Manhattan,10022,2.1349375487305258,7.080310874368291
House,2250000,6,4,2230.0,Manhattan,11222,4.9405837736959795,5.562087563237058
Co-op,359000,1,1,1440.0,Manhattan,10028,3.1201547014725084,8.927673939202204
House,1439000,6,4,1440.0,Manhattan,11219,13.988715322710727,8.04650257267928
Multi-family home,1050000,7,4,3280.0,Manhattan,10472,12.346555905634665,17.890984560460097
Co-op,134500,3,1,503.0,Bronx,10463,14.573269409615236,20.76005615016088
House,270000,4,2,2000.0,Manhattan,10458,13.608838822957418,19.56888321306001
Multi-family home,2280000,6,5,3262.0,Manhattan,11355,14.263516839645124,16.846653681708094
Co-op,278999,1,1,1440.0,Manhattan,11362,21.62716278271841,24.38780752698
Multi-family home,625000,5,2,3262.0,Manhattan,11221,8.329882429885275,5.995472116944347
House,529000,3,2,1150.0,Manhattan,10302,18.585137719303823,13.140941533185865
Townhouse,1050000,4,1,4087.0,Manhattan,11225,10.086184432433742,5.7546681590196345
Co-op,225000,3,1,1440.0,Manhattan,10026,5.262824059579762,11.396355638169393
Townhouse,1049000,3,1,1224.0,Manhattan,11375,11.84497995062777,13.168256122479299
Co-op,259000,1,1,964.0,Queens,11372,7.861183970923071,10.88235112400178
House,599000,3,2,2230.0,Manhattan,11207,12.721326003219593,10.303005233920063
Condo,3595000,3,3,1862.0,Manhattan,10013,4.348598540558168,2.023527433530127
Multi-family home,998000,6,3,1872.0,Manhattan,11385,8.91206515895789,8.955986561949965
Multi-family home,889000,6,2,2280.0,Manhattan,10461,14.647852578757371,20.053865375830547
House,825000,2,2,1820.0,Manhattan,11204,15.881649803849147,10.012570503691594
Multi-family home,599999,6,2,3490.0,Manhattan,11208,14.419173230033811,12.793230652571044
Townhouse,10999000,5,7,4087.0,Manhattan,10024,2.8656729583150136,9.06405642360962
House,649000,3,2,1064.0,Manhattan,11234,16.638463153232664,12.74883734690292
Multi-family home,989000,8,5,3960.0,Manhattan,10466,18.144211110941495,23.981954550527753
Condo,357000,3,1,1100.0,Bronx,10462,13.78816521224144,19.373802460243397
Townhouse,25000000,6,8,4087.0,Manhattan,10128,3.463909395985442,9.51453453245188
Co-op,119888,1,1,964.0,Queens,11368,10.880445678841493,14.129904694115698
Multi-family home,1099999,4,2,2185.0,Manhattan,10465,16.58362192866217,21.13771271419476
House,749000,2,1,2230.0,Manhattan,11366,15.826619696511221,17.45157634403461
Multi-family home,589999,4,2,1680.0,Manhattan,10302,18.967904605054326,13.478037208550006
Multi-family home,6995000,20,20,12492.0,Manhattan,10003,2.4486559118140008,3.9077367209999734
Townhouse,22500000,5,6,8725.0,Manhattan,10065,1.5498269187292995,7.517284844357143
House,749000,3,2,1332.0,Manhattan,10314,20.407891268836146,14.732011967481357
Condo,499000,3,2,1156.0,Queens,11417,14.899416117973205,13.91894557404679
House,859000,3,3,2230.0,Manhattan,11423,20.182781813654362,21.50814586859792
House,899000,3,2,1324.0,Manhattan,11234,18.058464841333304,13.72406990518304
Co-op,315000,2,1,850.0,Brooklyn,11234,16.992879104984343,12.671678328145859
House,950000,4,3,1746.0,Manhattan,11429,21.977248956143775,23.330153780495074
Townhouse,13950000,6,6,6798.0,Manhattan,10003,2.4366411490966833,3.949504397422136
House,1399000,5,3,3375.0,Manhattan,11414,17.33341785552299,15.654764264951122
Condo,595000,3,1,660.0,Manhattan,10005,6.223423040884385,0.04609851295901775
House,1618000,5,2,2200.0,Manhattan,11234,17.275586585804223,13.231822567080677
Multi-family home,1100000,3,2,1928.0,Manhattan,10307,35.231435137547734,29.514785537732916
Townhouse,3995000,8,8,5046.0,Manhattan,10025,4.802201837927822,10.996404411261926
Co-op,659000,1,1,440.0,Brooklyn,11201,8.068562888923418,2.3787517644184386
Multi-family home,1099000,6,3,2018.0,Manhattan,11368,11.225291609331554,13.493347063009322
Condo,319000,2,2,1102.0,Manhattan,10473,12.313468438394704,17.243292400187386
Multi-family home,999000,9,3,3168.0,Manhattan,10453,11.372132564940204,17.498583780704983
Co-op,398000,3,2,1571.0,Queens,11432,16.967743765904373,18.189053223588104
Co-op,249000,3,1,500.0,Manhattan,10034,13.842743439550556,20.02068313751645
Multi-family home,1299000,3,2,2648.0,Manhattan,11355,14.63709688656631,17.481834303834322
Townhouse,8950000,3,6,6336.0,Manhattan,10016,1.7571761747814791,4.900432094193511
House,750000,5,3,1500.0,Manhattan,11436,19.043386987536753,18.692930274079643
Multi-family home,1100000,5,3,1916.0,Manhattan,11234,16.390690170943337,11.98718740913025
House,1275000,3,4,2380.0,Manhattan,10309,31.13248814947323,25.37921122365656
House,689000,2,2,750.0,Manhattan,11235,19.766357986333954,14.314417760828226
Co-op,320000,1,1,1440.0,Manhattan,11375,12.208382876463869,13.471315056336882
Townhouse,3995000,5,6,4087.0,Manhattan,11217,8.799211247897107,3.9788917746788743
Multi-family home,1399000,6,5,2500.0,Manhattan,11436,18.676029605133234,18.377037252538926
House,395000,2,2,1089.0,Manhattan,10473,12.286629391271848,17.22382651225658
House,1250000,4,2,2273.0,Manhattan,10471,16.95112240620496,23.13117278356275
Co-op,719000,3,2,1440.0,Queens,11375,12.88555974760404,14.295607336098726
Multi-family home,795000,3,4,1171.0,Manhattan,10463,15.07566915969513,21.24552219169476
Multi-family home,1175000,6,5,3262.0,Manhattan,11436,17.76653182670134,17.786214040607693
Condo,4250000,3,4,2054.0,Manhattan,10021,2.6657602824141415,8.373407985753088
Townhouse,2500000,3,4,2201.0,Manhattan,10016,1.9745383605350486,4.714835003242295
House,1350000,4,2,2948.0,Manhattan,10461,15.596334000723779,21.273364769663633
Townhouse,549990,3,2,4087.0,Manhattan,10306,24.206674552792048,18.050126786758913
Multi-family home,34000000,3,8,3262.0,Manhattan,10011,2.0014229751239063,4.267560176519003
Multi-family home,1550000,6,6,3262.0,Manhattan,11224,20.466245570593482,14.488420119831302
Co-op,265000,1,1,1440.0,Manhattan,10035,5.758751540377528,11.816722407616712
Townhouse,7500000,4,2,4250.0,Manhattan,10075,2.9673927737298382,8.850255467259457
Co-op,325000,2,1,964.0,Queens,11040,23.876032640824278,26.13780982265274
House,755000,2,2,2230.0,Manhattan,11361,17.304387877006555,20.108380178273286
Co-op,325000,2,2,905.0,Bronx,10463,16.03304474078208,22.205015865267395
Co-op,1395000,2,1,1440.0,Manhattan,10007,5.372047859170275,0.8411046735149211
House,649000,3,2,980.0,Manhattan,10312,28.806109064178223,22.87337269898143
House,499999,2,1,800.0,Manhattan,10314,25.09005983324386,19.61774873994312
Multi-family home,999998,4,4,2720.0,Manhattan,10314,24.123577865515944,18.352226462104372
Multi-family home,1358000,6,3,3262.0,Manhattan,11221,9.603264628742542,7.651925215199641
House,1650000,5,4,2230.0,Manhattan,10463,14.757628165685578,20.945615101899147
Co-op,680000,1,1,845.0,Brooklyn,11201,7.532116615917205,1.9533177193928064
Co-op,258888,1,1,650.0,Brooklyn,11209,16.123557882578666,9.980874631619157
Co-op,300000,1,1,1440.0,Manhattan,10075,2.913500888578935,8.611581924904643
Townhouse,318888,2,2,1270.0,Manhattan,10303,20.204117611878416,15.139036514162516
Co-op,330000,1,2,1440.0,Manhattan,10022,1.7137328219448522,7.017847848788717
Condo,747000,11,1,747.0,Manhattan,10025,4.331113377736826,10.519377350001202
House,699000,2,2,2230.0,Manhattan,11385,11.094567693496066,11.259948136993916
Co-op,875000,1,1,1440.0,Manhattan,10023,2.1339583604058,8.335373209802963
Co-op,385000,2,2,1100.0,Bronx,10463,14.999669990990755,21.188131258872684
Co-op,985000,3,2,964.0,Queens,11372,8.69516614583389,11.817216396245053
Co-op,349000,1,1,1017.0,Queens,11694,22.740285639691685,19.039331177381147
Townhouse,5950000,4,4,4087.0,Manhattan,10028,3.497455686388719,9.159896971865244
House,968000,3,2,1344.0,Manhattan,11374,10.309290255590788,12.154720548664319
Condo,569000,2,2,951.0,Queens,11375,12.15095445544327,14.142914833288929
Condo,238000,1,1,650.0,Staten Island,10305,17.621161212140013,11.427705380759571
Multi-family home,1200000,6,6,5712.0,Manhattan,11385,10.239345969569179,10.097496880746107
Co-op,4995000,4,3,1440.0,Manhattan,10024,3.6933829674263072,9.884924102451656
House,911600,3,2,1596.0,Manhattan,11354,13.559786576345964,17.00430567897166
House,598000,3,2,1144.0,Manhattan,10463,15.014953869487607,21.15934141312841
Condo,472000,1,1,700.0,Queens,11373,9.129931478578847,11.232328249565743
House,549000,1,2,2230.0,Manhattan,11420,17.80537217142534,17.255405564853472
House,1085000,5,3,1200.0,Manhattan,11204,15.657159435700098,9.796254181254914
Multi-family home,680000,3,2,1535.0,Manhattan,11208,13.7769947062727,12.37808835867811
Co-op,210000,2,1,1000.0,Queens,11367,13.892061839076844,15.962716223846968
Townhouse,525000,2,2,996.0,Manhattan,10312,29.558220965381544,23.74608881445436
Multi-family home,999000,5,3,3262.0,Manhattan,11234,16.750688954157333,12.872879047947663
Multi-family home,1799000,3,1,5400.0,Staten Island,10306,23.171123811085415,17.10712269898654
Townhouse,1900000,9,5,5000.0,Manhattan,10035,6.626894347413127,12.7177724447472
House,519000,3,2,1200.0,Manhattan,11414,17.663640819353645,16.216971110862534
House,728900,4,1,960.0,Manhattan,10314,19.744071553625414,13.972918422012773
Co-op,549000,2,1,1440.0,Manhattan,11375,12.971801202030456,14.327160782075042
Co-op,299999,2,2,1300.0,Queens,11360,17.15349227412931,20.72561525359187
Co-op,1195000,2,2,1440.0,Manhattan,10011,2.6678663297292573,3.5336946490017453
Co-op,200000,1,1,964.0,Queens,11373,9.907208333530404,11.715766336065114
Condo,599000,2,2,1095.0,Brooklyn,11224,20.05673085608115,14.32274045000077
Co-op,1775000,2,2,1440.0,Manhattan,10012,3.8792099481290494,2.32808313819538
Multi-family home,1059000,6,3,3262.0,Manhattan,11208,12.236961233020116,11.175435360105979
House,1288888,3,4,1672.0,Manhattan,10301,19.538405701692884,13.5167853184235
Multi-family home,1299999,8,4,3448.0,Manhattan,11234,15.935917842698155,11.95632911532062
House,1399999,3,2,2700.0,Manhattan,10307,34.83365859596167,29.049478150210557
House,725000,3,2,2410.0,Manhattan,10466,19.191985481795516,25.157546132186674
Co-op,232500,1,1,964.0,Queens,11415,14.24009330032279,15.279313733840677
Co-op,250000,3,1,1440.0,Manhattan,10026,5.262824059579762,11.396355638169393
House,639000,2,2,862.0,Manhattan,11234,16.492662152471304,12.08830867053273
House,950000,4,4,2060.0,Manhattan,11356,11.718258562126437,16.11068631908035
Condo,12500000,3,2,4000.0,Manhattan,10013,4.33963757034307,1.862161581913286
Co-op,430000,2,1,964.0,Queens,11377,7.463555740170658,10.41678666315177
Co-op,299000,3,1,1440.0,Manhattan,10017,1.5856615323496774,5.702564352492185
Co-op,279000,3,1,1400.0,Manhattan,10462,14.77130543872967,20.594320080878997
House,1725000,3,2,1508.0,Manhattan,11209,15.946465614131506,9.757966304628063
Multi-family home,1698000,4,4,3620.0,Manhattan,10312,29.990101627280836,24.070904213547518
House,438000,2,2,1354.0,Manhattan,10312,27.574787018765655,21.807338902521792
Co-op,100000,3,1,512.0,Queens,11691,26.372056804270418,24.750006146798558
Co-op,299000,1,1,964.0,Queens,11372,8.501151157524566,11.480906355199927
Condo,625000,2,2,995.0,Queens,11360,17.329074456728957,20.803907695387448
Co-op,699999,3,2,845.0,Brooklyn,11213,10.461818674604524,6.158575352429219
Co-op,529000,1,1,1440.0,Manhattan,10010,2.43894967347786,4.195428731103347
Townhouse,23000000,5,6,7058.0,Manhattan,10011,2.1521231339845444,4.261800931346055
House,599000,3,2,1208.0,Manhattan,11421,12.844427927215095,12.395534495607604
Co-op,279900,1,1,900.0,Bronx,10451,9.627433216911127,15.68707345565279
Co-op,165000,1,1,875.0,Bronx,10470,18.364321254410182,24.450281221239372
Co-op,270000,1,1,845.0,Brooklyn,11214,17.136159853849556,11.343423095430374
Condo,625000,2,1,825.0,Queens,11109,2.8540641835325204,6.095962716402431
Multi-family home,580000,5,2,1780.0,Manhattan,11235,19.11135238611495,13.634169068234335
Condo,979000,3,2,1272.0,Brooklyn,11209,14.805776358068291,8.641525230760863
Co-op,269000,2,1,1440.0,Manhattan,10037,6.942758480953057,13.013316280459208
House,1700000,3,4,2230.0,Manhattan,11436,18.52732149897854,18.10106835561162
Co-op,499000,2,2,1440.0,Manhattan,10128,3.868402521097739,9.466646927785826
House,1699888,3,3,2275.0,Manhattan,11414,16.225200618599395,14.595344218020893
House,3100000,6,4,2230.0,Manhattan,11691,27.018280599200434,25.433636944343377
House,499000,4,2,1752.0,Manhattan,10463,14.248422329739642,20.39193548121512
Co-op,245000,2,1,900.0,Brooklyn,11229,18.04610228404036,13.2864045016401
Townhouse,5800000,7,5,6360.0,Manhattan,11217,7.868627627219432,3.4710759824128794
House,2350000,5,4,4270.0,Manhattan,10309,32.55299870883392,26.737935186692923
Co-op,425000,3,1,450.0,Manhattan,10011,1.9685370188633973,4.538825344442941
House,799000,3,2,2340.0,Manhattan,10314,23.195439452031064,17.346227879768485
Multi-family home,725000,4,2,1700.0,Manhattan,11208,13.702706368910926,12.0469231207163
Co-op,3695000,2,2,1697.0,Manhattan,10012,3.9085462196682856,2.334097165242363
House,1499999,5,3,2230.0,Manhattan,11418,14.67236980113868,14.898842044321352
House,1250000,4,3,2230.0,Manhattan,11358,15.878959951478008,19.148760541750878
House,1199000,4,1,1840.0,Manhattan,11228,15.906648115792771,9.95684012480228
Condo,28000000,4,4,5000.0,Manhattan,10013,4.476815466061405,1.8883191889579425
Condo,719000,3,2,951.0,Queens,11357,15.665452789589585,19.835845559782438
Co-op,169000,3,1,964.0,Queens,11375,13.265448978845866,14.659162192421125
Co-op,99000,1,1,850.0,Bronx,10452,10.038397236758506,16.157818453638658
Condo,1300000,2,2,1140.0,Manhattan,10025,4.321582833682399,10.515800037801522
Multi-family home,888000,5,4,3262.0,Manhattan,11207,12.31855289354518,10.557937050867302
Multi-family home,1308888,4,3,3262.0,Manhattan,11357,14.65967573732595,18.532443683306695
House,1265000,3,2,2230.0,Manhattan,11379,9.844326973498957,10.613242695683805
Condo,558000,1,1,751.0,Brooklyn,11209,15.966020731283791,9.79865247750167
House,1280000,4,2,2340.0,Manhattan,11363,20.295413122846902,23.3459191032154
Co-op,429000,2,2,1450.0,Bronx,10463,15.47913943610805,21.668271402105848
Condo,399900,2,2,853.0,Staten Island,10314,24.612438174538855,18.792901967768323
House,499900,3,1,1040.0,Manhattan,10303,20.737442496119222,15.457760314779101
Multi-family home,2489000,4,4,2334.0,Manhattan,11215,9.65881036342845,4.136393894223828
Condo,255500,1,1,950.0,Staten Island,10305,18.403533721389685,12.242979357354331
Condo,395000,3,1,1786.0,Manhattan,10028,3.5116652418447134,9.352295014562293
Multi-family home,1090000,5,3,3262.0,Manhattan,11356,12.72971023912677,17.11453319311865
Multi-family home,471300,4,2,2175.0,Manhattan,11207,13.448375877041345,11.269345126066636
Condo,9450000,2,3,3918.0,Manhattan,10012,4.216128780118897,1.9856185653500438
House,1089000,4,2,1720.0,Manhattan,11209,14.874335158076699,8.769284195747568
Co-op,220000,1,1,500.0,Brooklyn,11213,10.499803734096867,6.849095483207088
Townhouse,9950000,10,10,8000.0,Manhattan,10003,2.4295324790770296,3.909803811226442
Co-op,295000,2,1,950.0,Manhattan,11422,23.03577227607936,23.420872292740004
House,1375000,5,4,2704.0,Manhattan,10314,21.61329487949425,15.916386645898145
Co-op,399000,2,2,1050.0,Brooklyn,11224,20.16105976633048,14.57074762359238
Co-op,219999,2,1,800.0,Bronx,10463,15.31585100332139,21.489468755066426
Co-op,129000,3,1,964.0,Queens,11432,16.639508406470913,17.757887628549696
Co-op,329000,1,1,964.0,Queens,11104,5.674640540501893,8.11281800493282
House,639000,4,2,1856.0,Manhattan,10306,23.0707065273853,17.006547187527755
House,499999,3,2,1763.0,Manhattan,10304,17.852612644133103,11.784833230781745
Co-op,560000,2,2,964.0,Queens,11375,12.758088233270044,14.214149226263238
Townhouse,1268000,3,2,1513.0,Manhattan,11375,11.849612969786422,13.357201012613698
House,1899000,7,4,2800.0,Manhattan,11234,18.218380193831774,13.953349162940897
Co-op,888000,3,2,1600.0,Queens,11375,12.33592184275065,13.887579376541549
Multi-family home,2100000,20,8,7200.0,Manhattan,11209,14.433832541461395,8.265397774048001
Condo,1078000,3,2,951.0,Queens,11375,11.730053719649515,13.392182136813558
House,3200000,4,4,2950.0,Manhattan,11209,15.121183009415152,8.925393091243254
Co-op,555555,1,1,1440.0,Manhattan,10024,3.7217487349884637,9.908528942566258
Co-op,293900,1,1,964.0,Queens,11372,8.771371729384077,11.852652897988605
House,1175000,3,2,1192.0,Manhattan,11220,14.013091873329941,7.837880767364666
House,1448000,5,4,2000.0,Manhattan,11426,22.969318624400003,25.040369248639927
House,2950000,6,5,5436.0,Manhattan,11234,18.325659710444494,14.027775551466874
Co-op,150000,3,1,600.0,Queens,11368,10.951996379752659,13.112506068521967
Condo,354900,2,1,673.0,Brooklyn,11209,14.37030420923331,8.184937472575688
Condo,580000,2,2,1786.0,Manhattan,11372,9.411054584247074,12.428460412647391
House,969000,3,2,1776.0,Manhattan,11379,9.762306974699397,10.627056592251042
Condo,530000,1,1,538.0,Manhattan,11214,18.18959668281786,12.3328593290826
House,3900000,5,6,7723.0,Manhattan,11357,13.92255493424169,18.163746951607095
Condo,624999,3,2,1155.0,Brooklyn,11234,15.581966551436611,11.56685565483231
Townhouse,14800000,8,10,4087.0,Manhattan,10003,2.707878849094616,3.6456484983792827
Condo,475000,2,1,1296.0,Manhattan,10308,26.974947129568626,20.98301635474359
Condo,995000,3,2,1786.0,Manhattan,10025,4.716222696215699,10.90514080502998
Co-op,650000,1,1,1440.0,Manhattan,10022,1.9085588838504615,7.0032578910212875
Co-op,250000,2,1,964.0,Queens,11421,12.85226018902447,13.102637660418079
Co-op,125000,3,1,600.0,Bronx,10461,16.478276160426642,21.835390759022832
Co-op,2200000,3,3,2195.0,Manhattan,10025,3.860242748165771,10.050362742986474
Condo,925000,2,1,1786.0,Manhattan,10012,4.226643059102833,2.119592734372339
House,639000,3,2,2230.0,Manhattan,11234,16.670743733218846,12.799801197567113
House,2050000,6,6,5600.0,Manhattan,10304,21.82205215091675,15.734536292885943
Co-op,279000,2,2,1050.0,Manhattan,10470,18.15249908685958,24.249024669832384
Condo,785000,2,2,968.0,Brooklyn,11214,17.257241223500714,11.387310772726197
House,669000,3,2,1312.0,Manhattan,10314,21.74515254384622,15.94686757188293
Multi-family home,3650000,4,4,2880.0,Manhattan,11201,7.30396854744002,1.6116479732788942
Townhouse,6700000,4,4,3740.0,Manhattan,10025,3.987555106189343,10.18309629729254
Multi-family home,681000,6,3,3262.0,Manhattan,11207,13.548576932189158,11.574656431606693
Multi-family home,530000,2,2,1672.0,Manhattan,10303,20.075721198049862,14.648316740593998
Condo,1700000,2,2,1580.0,Brooklyn,11216,9.527091001737892,5.652027006226461
Co-op,339000,1,1,1085.0,Brooklyn,11209,16.385324260506962,10.195981975816089
House,800000,3,2,1224.0,Manhattan,11234,17.08241953724255,12.660334815537134
Co-op,189000,1,1,700.0,Bronx,10471,18.032251788856026,24.212364354700604
Co-op,4995000,2,2,1440.0,Manhattan,10021,2.406380184499445,8.41025112436776
House,999999,2,2,1198.0,Manhattan,10128,3.986158559754127,9.75754572309667
Condo,575000,3,2,877.0,Queens,11385,9.928450100364495,9.669828439639852
Co-op,385000,1,1,1440.0,Manhattan,10033,11.088657610758972,17.288540187986943
Townhouse,7950000,4,2,3397.0,Manhattan,10014,3.326391112748354,2.9336923410647495
Co-op,175000,3,1,845.0,Brooklyn,11230,14.04331321798653,8.726859951315753
Multi-family home,915999,5,3,3262.0,Manhattan,11369,9.207629267976872,12.810661041656202
Multi-family home,1850000,12,8,5250.0,Manhattan,11229,16.975951328649423,11.74242305651124
Condo,40000000,5,6,7488.0,Manhattan,10007,5.367089925743505,1.0942302081210755
Co-op,175000,1,1,800.0,Bronx,10458,15.416430666349248,21.47136866873307
House,729000,4,2,2230.0,Manhattan,11411,22.188741835120535,22.95977301493256
Townhouse,5995000,6,4,4000.0,Manhattan,11231,8.086823347960456,2.2925074698836294
Co-op,480000,2,1,964.0,Queens,11375,11.894724897399685,13.675071062618416
House,4200000,5,4,4480.0,Manhattan,10024,3.4447444950349912,9.644982252947004
Townhouse,1198000,4,2,4087.0,Manhattan,11375,11.998562810629174,12.885576029274514
Co-op,285000,1,1,750.0,Brooklyn,11230,15.528396339815941,10.134184097441095
Multi-family home,849000,5,3,2460.0,Manhattan,11691,25.50387320864542,23.342007264097873
House,549000,3,2,1250.0,Manhattan,10453,11.685300693083033,17.833963981707136
Co-op,729000,2,2,1700.0,Queens,11005,22.669386768331176,25.338404390499328
Co-op,199999,1,1,964.0,Queens,11361,17.542543958124092,20.53572336191672
Multi-family home,600000,4,2,1728.0,Manhattan,10466,19.582050517535997,25.500945675264457
House,599000,3,1,1340.0,Manhattan,11435,17.577708892005305,17.75113595970663
Multi-family home,599000,5,2,2268.0,Manhattan,11233,10.288554060653032,8.365276048021729
Condo,725000,3,2,1185.0,Brooklyn,11230,15.8683842567363,10.656450318909567
Multi-family home,1295000,3,2,2600.0,Manhattan,11234,17.78384946912004,13.64218455141532
Multi-family home,798888,3,2,1500.0,Manhattan,10309,30.191890529436957,24.464960215792907
House,529000,3,1,1800.0,Manhattan,11427,19.875470439348618,21.50576044856133
Multi-family home,1550000,12,7,3000.0,Manhattan,10309,34.676126795615076,28.8362509349938
Co-op,319000,2,1,964.0,Queens,11375,11.558442587135955,12.993626707724992
Co-op,245000,3,1,260.0,Manhattan,10017,1.6855905594777811,5.671000078889785
Multi-family home,1249000,5,3,1548.0,Manhattan,11223,18.264561164327358,12.654350987426572
Condo,455000,2,1,939.0,Staten Island,10306,24.86033138555301,18.748464706256705
Multi-family home,999900,4,2,2024.0,Manhattan,11228,16.649924608986563,10.654320070751158
House,395000,2,1,666.0,Manhattan,10306,22.56338780897684,16.388963093694862
Condo,620000,1,1,430.0,Manhattan,10023,2.12924307720054,8.323207309763628
Condo,849000,3,2,1241.0,Brooklyn,11223,17.18825195182161,11.64713501236946
Co-op,8995000,5,4,5500.0,Manhattan,10010,1.6843666218946534,4.518979104033623
Co-op,650000,3,1,845.0,Brooklyn,11238,8.543299548435717,4.573137352137954
Condo,2995000,2,2,1452.0,Manhattan,10128,3.4371892541197737,9.396445681544545
Condo,495000,2,1,800.0,Queens,11418,13.965857248048867,14.599614824401957
House,675000,3,2,1222.0,Manhattan,10304,16.87771182129168,10.871861148127714
Condo,999000,3,1,600.0,Manhattan,10023,1.4986248986387163,7.479276671700039
Condo,2250000,2,2,1334.0,Manhattan,11217,8.554247507121733,3.092559789533735
Multi-family home,1299000,9,4,3720.0,Manhattan,10473,13.28920060146046,18.532890326695444
Condo,429000,1,1,640.0,Brooklyn,11224,20.40119063548932,14.808056936730134
House,649999,3,2,2230.0,Manhattan,11422,22.974269678702324,23.00106143561869
Townhouse,10995000,7,6,9000.0,Manhattan,10024,3.0291341809155514,9.181774581192183
Townhouse,2050000,5,4,3000.0,Manhattan,11225,11.340619538935323,6.702428958251244
House,1075000,6,2,2200.0,Manhattan,11230,16.227609356964933,11.034767089557139
Co-op,174000,1,1,800.0,Brooklyn,11229,18.197588943809382,13.378407499883982
House,1193000,2,2,1518.0,Manhattan,10304,22.17032896542225,16.098101401998345
House,4995000,4,4,2230.0,Manhattan,11215,9.753438670671686,4.6936012889084
House,898000,5,4,2828.0,Manhattan,11207,11.46885076073951,9.982521157630856
Multi-family home,1288000,5,3,1500.0,Manhattan,11357,14.38563665225313,18.330879878375193
House,1749999,4,4,2600.0,Manhattan,10304,20.49339132008204,14.400781391824676
Condo,575000,2,2,1253.0,Queens,11694,23.98126778039657,20.9467725680668
Condo,5100000,4,2,2183.0,Manhattan,10011,2.2957766977042833,3.967383183675934
Condo,2000000,1,2,1321.0,Manhattan,10013,5.149649026324931,1.1097994095897077
Co-op,170000,2,1,850.0,Bronx,10467,16.448918094975834,22.49214705335635
Co-op,1295000,2,2,2100.0,Brooklyn,11201,6.320860399149424,1.3328259821986406
House,749000,3,2,1332.0,Manhattan,10301,16.83537842836152,10.977222963385472
Multi-family home,1848000,3,4,3640.0,Manhattan,11214,16.901503634526648,11.010338405876823
Co-op,465000,2,2,1440.0,Manhattan,10022,1.7614659874426435,6.484535637208676
Co-op,298999,2,1,1440.0,Manhattan,11427,20.93473750725703,22.90343378452327
Co-op,209900,1,1,780.0,Brooklyn,11235,19.613772548390987,14.708334818388815
Co-op,539000,1,1,845.0,Brooklyn,11226,13.141474651611382,8.162039863740802
House,2975000,3,2,2230.0,Manhattan,11238,9.587817390405732,5.254354096694666
Multi-family home,2099000,6,5,3262.0,Manhattan,11374,10.99062932900281,12.84364274644399
Co-op,199900,1,1,925.0,Bronx,10468,13.706752648850406,19.792022175830102
Co-op,789000,2,1,1440.0,Manhattan,10075,2.9863970001563285,8.58143556298362
House,919000,3,2,1565.0,Manhattan,11230,13.998212987446177,8.761691499046188
House,815599,3,2,2230.0,Manhattan,11234,15.317806154496722,10.69461406350639
Multi-family home,1050000,4,4,3305.0,Manhattan,10309,32.47249309265773,26.59462062966352
Co-op,289999,1,1,830.0,Bronx,10463,14.550984332362372,20.74496272784331
Co-op,4050000,4,3,1440.0,Manhattan,10128,3.372127006432589,9.431585620243277
Multi-family home,1998000,6,3,3192.0,Manhattan,11209,14.456886469778047,8.34207473757433
