type,price,beds,bath,propertysqft,locality,zipcode,distance_to_center,distance_to_wall_street
Condo,215000,1,1,625.0,Manhattan,10012,3.852336822276183,2.369399014945767
House,314000,3,1,1572.0,Manhattan,11210,14.156127029007996,9.703538978773313
Condo,395000,5,1,1000.0,Manhattan,10021,2.180276034645675,8.063841718087433
Multi-family home,600000,2,2,3262.0,Manhattan,10465,16.409180501511177,21.715417783759587
Multi-family home,790000,6,3,2520.0,Manhattan,10314,20.356975418872068,14.548853651589175
Co-op,539000,2,2,1100.0,Brooklyn,11209,16.38718591398812,10.198220521283677
Co-op,1295000,4,2,1995.0,Bronx,10463,14.574069161420967,20.771669933258398
House,245000,3,1,2230.0,Manhattan,10469,16.35267858168354,22.205346190732612
House,400000,7,3,2385.0,Manhattan,10470,18.360920523646232,24.416197381121968
House,55000000,8,8,12000.0,Manhattan,10023,2.606484406367401,8.7183484729404
Co-op,280000,1,1,1000.0,Brooklyn,11209,15.283905639043667,9.163011340820272
House,899000,3,2,1440.0,Manhattan,10309,34.08383604650507,28.287087410416838
House,3950000,5,2,3528.0,Manhattan,11215,10.12662412975311,5.098653052002563
Condo,325000,2,1,979.0,Manhattan,10029,4.607173244594054,10.598858626001384
Townhouse,2695000,6,5,4720.0,Manhattan,10031,7.886755465668481,14.072991305433234
House,694000,3,3,1360.0,Manhattan,10308,28.040910874700767,22.016193741225358
House,688888,4,2,2846.0,Manhattan,10467,16.187136490680142,22.123567715018005
House,400000,4,2,1980.0,Manhattan,11208,13.814553616504348,11.990213110061532
Multi-family home,346000,5,2,3262.0,Manhattan,11417,14.934157774837729,14.601262840044456
House,265000,3,1,2230.0,Manhattan,11413,22.08733966227187,22.312626162871034
House,319000,3,2,1224.0,Manhattan,10306,24.153773432554008,17.988218783786866
Townhouse,24800000,6,8,4087.0,Manhattan,10021,2.400672953259152,8.361951736321839
House,1100000,9,4,3276.0,Manhattan,10032,8.766173022920645,14.95153656976797
Multi-family home,309000,6,2,3262.0,Manhattan,11691,25.87219826235489,23.939245307940745
House,650000,3,2,1522.0,Manhattan,11426,21.908093383770858,23.632374465422085
House,799000,4,2,1975.0,Manhattan,10312,30.121257948230816,24.257187004494952
Co-op,259000,3,2,1089.0,Manhattan,10465,16.669467694685043,21.50048800671194
House,1195000,4,4,2704.0,Manhattan,10309,32.8904690876215,26.966589899789284
Condo,17500000,5,6,5499.0,Manhattan,10007,5.330487302167098,0.9268660819362542
Condo,189000,2,2,966.0,Staten Island,10305,17.621161212140013,11.427705380759571
Condo,759000,3,2,1200.0,Queens,11360,16.940067528201762,20.74598427300461
House,275000,4,1,2230.0,Manhattan,11210,13.918717759173836,9.219246074259072
Condo,499000,1,1,630.0,Manhattan,10021,2.393727671399591,8.198761156193454
Co-op,69900,2,1,700.0,Manhattan,10465,16.266596860212967,21.092082791831945
Multi-family home,1150000,12,6,5508.0,Manhattan,11103,6.033528092191945,9.697543655218977
Co-op,1399000,3,4,1993.0,Queens,11005,22.266786106016312,24.91724539903345
Condo,649000,3,2,1182.0,Queens,11365,15.42370721776036,17.3099376135896
House,499000,5,2,1760.0,Manhattan,10458,14.492666779888674,20.53468475573684
Multi-family home,1050000,5,4,3132.0,Manhattan,10465,15.385631038807446,20.19358844749074
Townhouse,5000000,10,9,6425.0,Manhattan,10024,2.82463011568612,9.023135850857578
House,56000000,11,10,24000.0,Manhattan,10019,0.8123619769720527,6.765464971215594
Condo,500000,4,3,1794.0,Manhattan,10024,3.6271693048129063,9.817266874988709
House,350000,2,1,490.0,Manhattan,10306,22.434713838905772,16.25714445020835
House,1099000,4,2,2230.0,Manhattan,11697,22.935529414797408,18.114745310878718
Co-op,90000,1,1,450.0,Bronx,10452,10.643600325973244,16.780892226463262
House,839000,4,2,2230.0,Manhattan,11414,16.18590281497872,14.748605455601487
House,659000,8,3,2230.0,Manhattan,11435,17.70797545597656,18.00041246408306
House,399999,3,1,2230.0,Manhattan,11691,26.445258308778392,24.5141952973915
Condo,250000,3,1,1155.0,Brooklyn,11229,18.197588943809382,13.378407499883982
House,650000,4,2,2244.0,Manhattan,11411,21.848001361635554,22.763144653728688
House,1165000,3,4,3500.0,Manhattan,10309,31.16555307474514,25.421027183129155
House,729900,3,2,1150.0,Manhattan,10309,31.13340832688448,25.25076071430635
House,1880000,3,4,3150.0,Manhattan,11224,19.90215253521231,13.953901107208987
Co-op,449000,2,2,1549.0,Queens,11005,22.669386768331176,25.338404390499328
House,1175000,3,2,2250.0,Manhattan,11694,23.213236026056958,19.460902544169137
Townhouse,2750000,3,2,4087.0,Manhattan,10014,3.0815709089461287,3.154797542171167
House,995000,3,2,2230.0,Manhattan,11414,16.068160878055476,14.51317579161073
