type_Condo,type_House,type_Multi-family home,type_Townhouse,locality_Brooklyn,locality_Manhattan,locality_Queens,locality_Staten Island,zipcode,beds,bath,propertysqft,distance_to_center,distance_to_wall_street,price
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11357.0,3.0,2.0,951.0,15.665452789589583,19.83584555978244,719000
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10312.0,2.0,2.0,996.0,29.558220965381544,23.74608881445436,525000
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11230.0,1.0,1.0,765.0,15.70036617479668,10.311270160739689,265000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10021.0,1.0,2.0,1440.0,2.652042579466784,8.323697422745248,1195000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11413.0,4.0,3.0,1379.0,21.87024832923729,22.121568443142472,728888
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10303.0,6.0,4.0,2504.0,19.45398410112765,14.207613920146558,1299900
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10465.0,3.0,2.0,1300.0,16.278774923879464,21.10132317237037,659000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10012.0,4.0,6.0,7500.0,4.153163518408054,2.052317054370476,32000000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11207.0,3.0,3.0,1200.0,12.423049962865116,10.740728799155637,314900
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10466.0,4.0,3.0,2230.0,18.00387392337456,24.008955411822782,450000
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11373.0,1.0,1.0,800.0,8.943371376985274,11.53244003928699,328000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11385.0,6.0,3.0,1872.0,8.91206515895789,8.955986561949965,998000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10466.0,3.0,4.0,1613.0,17.75910126805244,23.73389054041817,399888
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11004.0,4.0,3.0,2129.0,23.67317409394976,26.057242040377144,875000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10001.0,3.0,2.0,3200.0,1.416738457775025,4.785775032240851,2500000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10007.0,5.0,4.0,4014.0,5.288964093886058,0.9212524715465416,5495000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10473.0,2.0,2.0,1089.0,12.286629391271848,17.22382651225658,395000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10128.0,1.0,2.0,1010.0,3.934614949072553,9.499792825009266,1345000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11377.0,5.0,3.0,3262.0,7.380677868947071,9.866709753175892,1290000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10305.0,4.0,2.0,2192.0,19.06171593008905,12.869418939955462,1070000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11426.0,5.0,4.0,2000.0,22.969318624400003,25.040369248639927,1448000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10314.0,3.0,2.0,1152.0,21.752192348872352,16.26703462395028,549000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10471.0,1.0,1.0,905.0,17.75623345593265,23.950837188099847,310000
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10464.0,1.0,2.0,704.0,19.48644348650039,24.469608035377725,379000
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11203.0,4.0,2.0,2217.0,13.851454513546708,9.664109454422542,849999
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10023.0,5.0,4.0,4105.0,2.5469315904684287,8.718619329074,16500000
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10027.0,3.0,2.0,1773.0,6.74031805170882,12.861677850128512,1795000
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11385.0,2.0,2.0,787.0,8.458018618622981,8.287835536428224,925000
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10024.0,5.0,4.0,4480.0,3.4447444950349912,9.644982252947004,4200000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10309.0,5.0,4.0,3427.0,31.57251819001579,25.866272962678348,1250000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10024.0,4.0,2.0,1440.0,3.759183155436266,9.933406328808816,4675000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11417.0,3.0,2.0,2230.0,15.598776105370336,15.000562318515865,625000
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11225.0,2.0,1.0,845.0,10.694651612256466,6.504482287740203,694000
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11209.0,1.0,1.0,780.0,15.794376823558428,9.597052747975551,599000
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10016.0,1.0,1.0,715.0,1.1454313424100415,5.456479885923703,525000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11426.0,4.0,3.0,2230.0,22.59830000938233,24.52112906399329,849000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11209.0,5.0,2.0,2652.0,15.45692169658528,9.265557872915938,1980000
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11234.0,3.0,2.0,2230.0,15.767676825544733,11.270290422902082,835000
